plural dominant;semantic plt;Pluralia tantum formali
АДВЕНТИСТ;АРАБЕСКА;АВТОХТОНЫ
БОБ;БАБКА;АКРИДЫ
ВОЛОС;БЕСПОРЯДОК;АКСЕЛЬБАНТЫ
ГОЛЬФЫ;БЛАГОВОНИЕ;АЛИМЕНТЫ
ДВЕРКА;БОБЁР;АЛКАЛОИДЫ
ДВЕРЬ;БОЛЬ;АМИНОКИСЛОТЫ
ДЕЖА;БРАЗДА;АМУРЫ
ДЛИНА;ВЕДОМОСТЬ;АННАЛЫ
ДУХОБОР;ВЕРФЬ;АНТИБИОТИКИ
КОЗА;ВЛАСТЬ;АНТИЛОПЫ
КУРИЦА;ВНУК1;АНТИМИРЫ
ЛЮДИ;ВНУК2;АНТИТЕЛА
МОЛОКАНИН;ВНУТРЕННОСТЬ;АНТРЕСОЛИ
НЕБО;ВОДА1;АНЮТКИ
ПОИСК;ВОДА2;АПАРТАМЕНТЫ
ПЯТИДЕСЯТНИК;ВОДА3;АПЛОДИСМЕНТЫ
РАЗВАЛИНА;ВОДА4;АЦЕТАТЫ
РЕСУРС;ВСХОД;АЭРОЗОЛИ
СВЕДЕНИЕ;ГА3;АЭРОСАНИ
СЛЕЗА;ГАБАРИТ;БАБУШИ
СТАНСЫ;ГОД1;БАКЕНБАРДЫ
УГОВОР;ГОД2;БАКЕНБАРДЫ
ЮНКЕР;ГОД3;БАКИ
ЯДРО;ГОРА;БАНКНОТЫ
АМБИЦИЯ;ГОРИЗОНТ;БАРАШКИ
БАНКА;ГОРОХ;БАРМЫ
БАСНЯ;ДЕНЬ;БАРХАТЦЫ
БЛАГ;ДЕСЯТОК;БАЧКИ
БЛИНЧИК;ДЛИННОТА;БЕБЕХИ
ВАКХАНАЛИЯ;ДОСТАТКИ;БЕГА
ВЕХА;ДРУЖОК;БЕЛИ
ВКРАПЛЕНИЕ;ЗАГОТОВКА;БЕЛЯШИ
ВОЗДЫХАНИЕ;ЗАД1;БИВНИ
ВОЙСКО;ЗАД2;БИОТОКИ
ВОЛНЕНИЕ;ЗАКРОМ;БИТКИ
ВОЛОКНО;ЗАПРОС;БИТЛЫ
ВЫБОРКА;ЗАРАБОТКИ;БИТУМЫ
ВЫДЕЛЕНИЕ;ЗАТЕЯ;БИТУМЫ
ВЫКЛАДКА;ИГРА;БЛЁСТКИ
ВЫРАБОТКА;ИЗВЕСТИЯ;БЛИЗНЕЦЫ
ГАД;ИСКАНИЯ;БЛОШКИ
ГОЛОВКА;ИСПАРЕНИЕ;БОЕПРИПАСЫ
